step,actor_loss,critic_loss,rewards
240,0.030984411016106606,0.0005303067737258971,-0.8010000000000005
480,0.01492452621459961,5.301303190208273e-06,-0.8010000000000005
720,0.0100672896951437,4.6714731070096605e-06,-0.8010000000000005
960,0.0075049628503620625,4.1360458453709725e-06,-0.8010000000000005
1200,0.005934028420597315,4.228071247780463e-06,-0.8010000000000005
1440,0.0053846933878958225,4.546986474451842e-06,-0.8010000000000005
1680,0.0034857492428272963,4.63060814581695e-06,-0.7120000000000001
1920,0.0018637353787198663,4.812870429304894e-06,-0.8010000000000005
2160,0.0034434464760124683,4.8029633035184816e-06,-0.8010000000000005
2400,0.002860710024833679,4.491162599151721e-06,-0.8010000000000005
2640,0.0031986406538635492,4.378182438813383e-06,-0.645999999999997
2880,0.0032240080181509256,4.128424279770115e-06,-0.033
3120,0.0027976296842098236,4.009424628748093e-06,-0.20300000000000012
